livre,abreviation,ancre_technique
Genesis,Gen.,Gen_CC_VV
Exodus,Ex.,Ex_CC_VV
Leviticus,Lev.,Lev_CC_VV
Numeri,Num.,Num_CC_VV
Deuteronomium,Deut.,Deut_CC_VV
Iosue,Ios.,Ios_CC_VV
Iudices,Iudic.,Iudic_CC_VV
Ruth,Ruth,Ruth_CC_VV
I Regum,1 Reg.,Reg1_CC_VV
II Regum,2 Reg.,Reg2_CC_VV
III Regum,3 Reg.,Reg3_CC_VV
IV Regum,4 Reg.,Reg4_CC_VV
I Paralipomenon,1 Par.,Par1_CC_VV
II Paralipomenon,2 Par.,Par2_CC_VV
Esdrae,Esd.,Esd_CC_VV
Nehemias,Neh.,Neh_CC_VV
Tobias,Tob.,Tob_CC_VV
Iudith,Iudith,Iudith_CC_VV
Esther,Esth.,Esth_CC_VV
Iob,Iob,Iob_CC_VV
Psalmi,Ps.,Ps_CC_VV
Proverbia,Prov.,Prov_CC_VV
Ecclesiastes,Eccle.,Eccle_CC_VV
Canticum Canticorum,Cant.,Cant_CC_VV
Sapientia,Sap.,Sap_CC_VV
Ecclesiasticus,Eccli.,Eccli_CC_VV
Isaias,Is.,Is_CC_VV
Ieremias,Ier.,Ier_CC_VV
Lamentationes,Lam.,Lam_CC_VV
Baruch,Bar.,Bar_CC_VV
Ezechiel,Ez.,Ez_CC_VV
Daniel,Dan.,Dan_CC_VV
Osee,Os.,Os_CC_VV
Ioel,Ioel,Ioel_CC_VV
Amos,Am.,Am_CC_VV
Abdias,Abd.,Abd_CC_VV
Ionas,Ion.,Ion_CC_VV
Michaea,Mich.,Mich_CC_VV
Nahum,Nah.,Nah_CC_VV
Habacuc,Hab.,Hab_CC_VV
Sophonias,Soph.,Soph_CC_VV
Aggaeus,Agg.,Agg_CC_VV
Zacharias,Zach.,Zach_CC_VV
Malachias,Mal.,Mal_CC_VV
I Machabaeorum,1 Mach.,Mach1_CC_VV
II Machabaeorum,2 Mach.,Mach2_CC_VV
Matthaeus,Mt.,Mt_CC_VV
Marcus,Mc.,Mc_CC_VV
Lucas,Lc.,Lc_CC_VV
Ioannes,Io.,Io_CC_VV
Actus Apostolorum,Act.,Act_CC_VV
Romani,Rom.,Rom_CC_VV
I Corinthii,1 Cor.,Cor1_CC_VV
II Corinthii,2 Cor.,Cor2_CC_VV
Galatae,Gal.,Gal_CC_VV
Ephesii,Eph.,Eph_CC_VV
Philippenses,Phil.,Phil_CC_VV
Colossenses,Col.,Col_CC_VV
I Thessalonicenses,1 Thess.,Thess1_CC_VV
II Thessalonicenses,2 Thess.,Thess2_CC_VV
I Timotheus,1 Tim.,Tim1_CC_VV
II Timotheus,2 Tim.,Tim2_CC_VV
Titus,Tit.,Tit_CC_VV
Philemon,Philem.,Philem_CC_VV
Hebraei,Hebr.,Hebr_CC_VV
Iacobus,Iac.,Iac_CC_VV
I Petrus,1 Petr.,Petr1_CC_VV
II Petrus,2 Petr.,Petr2_CC_VV
I Ioannes,1 Io.,Io1_CC_VV
II Ioannes,2 Io.,Io2_CC_VV
III Ioannes,3 Io.,Io3_CC_VV
Iudas,Iud.,Iud_CC_VV
Apocalypsis,Apoc.,Apoc_CC_VV
